0.860590,0.863271,0.498660,0.504021
0.884718,0.887399,0.498660,0.501340
0.868633,0.868633,0.766756,0.729223
0.927614,0.927614,0.501340,0.495979
0.868633,0.876676,0.482574,0.487936
0.908847,0.908847,0.466488,0.463807
0.906166,0.911528,0.766756,0.761394
0.847185,0.849866,0.504021,0.490617
0.919571,0.927614,0.498660,0.495979
0.903485,0.903485,0.439678,0.439678
0.876676,0.882038,0.530831,0.517426
0.873995,0.876676,0.490617,0.495979
0.946381,0.949062,0.804290,0.790885
0.876676,0.876676,0.509383,0.506702
0.884718,0.887399,0.447721,0.436997
0.876676,0.882038,0.689008,0.520107
0.876676,0.876676,0.474531,0.477212
0.855228,0.860590,0.769437,0.509383
0.890080,0.887399,0.793566,0.458445
0.895442,0.898123,0.458445,0.458445
