0.933333,0.935000,0.706667,0.720000
0.930000,0.930000,0.726667,0.746667
0.978333,0.980000,0.760000,0.808333
1.013333,1.013333,0.783333,0.766667
0.983333,0.988333,0.768333,0.815000
1.013333,1.015000,0.755000,0.758333
1.001667,1.003333,0.730000,0.753333
0.951667,0.951667,0.718333,0.720000
1.033333,1.036667,0.713333,0.725000
1.028333,1.026667,0.743333,0.746667
0.995000,0.993333,0.713333,0.715000
1.028333,1.035000,0.753333,0.746667
1.018333,1.015000,0.721667,0.731667
1.010000,1.010000,0.736667,0.736667
0.928333,0.931667,0.836667,0.818333
0.933333,0.938333,0.746667,0.746667
0.988333,0.991667,0.766667,0.770000
0.965000,0.968333,0.730000,0.721667
1.005000,1.005000,0.788333,0.821667
0.966667,0.968333,0.748333,0.781667
