0.874036,0.874036,0.874036,0.688946,0.555270,0.732648
0.876607,0.876607,0.876607,0.724936,0.632391,0.724936
0.876607,0.876607,0.876607,0.598972,0.609254,0.717224
0.830334,0.830334,0.830334,0.660668,0.634961,0.699229
0.899743,0.899743,0.899743,0.809769,0.742931,0.724936
0.886889,0.886889,1.311054,0.706941,0.606684,0.830334
0.858612,0.858612,0.858612,0.858612,0.863753,0.709512
0.930591,0.933162,0.930591,0.730077,0.706941,0.758355
0.843188,0.843188,0.843188,0.706941,0.678663,0.722365
0.969152,0.971722,0.969152,0.580977,0.580977,0.763496
0.886889,0.889460,0.886889,0.719794,0.776350,0.709512
0.889460,0.889460,0.889460,0.712082,0.706941,0.748072
0.920308,0.920308,0.920308,0.593830,0.591260,0.737789
0.866324,0.866324,0.868895,0.678663,0.552699,0.724936
0.956298,0.956298,0.956298,0.737789,0.719794,0.755784
0.930591,0.930591,0.933162,0.740360,0.580977,0.755784
0.866324,0.868895,1.359897,0.850900,0.827763,0.850900
0.881748,0.881748,0.881748,0.724936,0.611825,0.722365
0.917738,0.917738,0.917738,0.848329,0.753213,0.763496
0.866324,0.868895,0.868895,0.714653,0.696658,0.712082
