0.607843,0.549020,0.588235,0.529412
0.568627,0.529412,0.549020,0.509804
0.588235,0.568627,0.568627,0.549020
0.529412,0.568627,0.529412,0.549020
0.588235,0.549020,0.588235,0.549020
0.549020,0.588235,0.549020,0.588235
0.549020,0.509804,0.549020,0.509804
0.568627,0.509804,0.568627,0.490196
0.647059,0.705882,0.647059,0.666667
0.647059,0.686275,0.647059,0.647059
0.470588,0.509804,0.470588,0.509804
0.529412,0.509804,0.529412,0.509804
0.588235,0.647059,0.568627,0.607843
0.549020,0.549020,0.549020,0.529412
0.607843,0.588235,0.607843,0.568627
0.686275,0.666667,0.666667,0.647059
0.705882,0.686275,0.686275,0.647059
0.588235,0.549020,0.588235,0.549020
0.411765,0.431373,0.411765,0.392157
0.490196,0.470588,0.490196,0.470588
